10:49:33.412 INFO  DatabaseEngine:65 - will manage database at /home/juan/spinwishes/reports/2023-03-23-10-48-31-587867/run_1/ds.sqlite3
10:49:33.489 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:0 Y:0 <--> /172.16.223.1:17893) for /172.16.223.5
10:49:33.490 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:0 Y:12 <--> /172.16.223.9:17893) for /172.16.223.5
10:49:33.490 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:4 Y:8 <--> /172.16.223.33:17893) for /172.16.223.5
10:49:33.490 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:4 Y:20 <--> /172.16.223.41:17893) for /172.16.223.5
10:49:33.490 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:8 Y:4 <--> /172.16.223.65:17893) for /172.16.223.5
10:49:33.490 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:8 Y:16 <--> /172.16.223.73:17893) for /172.16.223.5
10:49:33.490 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:12 Y:0 <--> /172.16.223.97:17893) for /172.16.223.5
10:49:33.491 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:12 Y:12 <--> /172.16.223.105:17893) for /172.16.223.5
10:49:33.491 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:16 Y:8 <--> /172.16.223.129:17893) for /172.16.223.5
10:49:33.491 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:16 Y:20 <--> /172.16.223.137:17893) for /172.16.223.5
10:49:33.491 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:20 Y:4 <--> /172.16.223.161:17893) for /172.16.223.5
10:49:33.491 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:20 Y:16 <--> /172.16.223.169:17893) for /172.16.223.5
10:49:33.491 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:24 Y:0 <--> /172.16.223.177:17893) for /172.16.223.5
10:49:33.491 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:28 Y:8 <--> /172.16.223.145:17893) for /172.16.223.5
10:49:33.492 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:28 Y:20 <--> /172.16.223.153:17893) for /172.16.223.5
10:49:33.492 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:32 Y:4 <--> /172.16.223.113:17893) for /172.16.223.5
10:49:33.492 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:32 Y:16 <--> /172.16.223.121:17893) for /172.16.223.5
10:49:33.492 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:36 Y:0 <--> /172.16.223.81:17893) for /172.16.223.5
10:49:33.492 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:36 Y:12 <--> /172.16.223.89:17893) for /172.16.223.5
10:49:33.492 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:40 Y:8 <--> /172.16.223.49:17893) for /172.16.223.5
10:49:33.492 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:40 Y:20 <--> /172.16.223.57:17893) for /172.16.223.5
10:49:33.493 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:44 Y:4 <--> /172.16.223.17:17893) for /172.16.223.5
10:49:33.493 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:44 Y:16 <--> /172.16.223.25:17893) for /172.16.223.5
10:49:33.535 INFO  HostExecuteDataSpecification:276 (board:8,16) loading data onto X:8 Y:16 (1016 bytes at 0x60240018)
10:49:33.535 INFO  HostExecuteDataSpecification:276 (board:20,16) loading data onto X:20 Y:16 (1016 bytes at 0x60240018)
10:49:33.535 INFO  HostExecuteDataSpecification:276 (board:28,8) loading data onto X:28 Y:8 (1016 bytes at 0x60240018)
10:49:33.535 INFO  HostExecuteDataSpecification:276 (board:36,0) loading data onto X:36 Y:0 (1016 bytes at 0x60240018)
10:49:33.536 INFO  HostExecuteDataSpecification:276 (board:32,16) loading data onto X:32 Y:16 (1016 bytes at 0x60240018)
10:49:33.536 INFO  HostExecuteDataSpecification:276 (board:12,12) loading data onto X:12 Y:12 (1016 bytes at 0x60240018)
10:49:33.536 INFO  HostExecuteDataSpecification:276 (board:4,20) loading data onto X:4 Y:20 (1016 bytes at 0x60240018)
10:49:33.538 INFO  HostExecuteDataSpecification:276 (board:40,20) loading data onto X:40 Y:20 (1016 bytes at 0x60240018)
10:49:33.540 INFO  HostExecuteDataSpecification:276 (board:16,8) loading data onto X:16 Y:8 (1016 bytes at 0x60240018)
10:49:33.543 INFO  HostExecuteDataSpecification:276 (board:16,20) loading data onto X:16 Y:20 (1016 bytes at 0x60240018)
10:49:33.545 INFO  HostExecuteDataSpecification:276 (board:0,12) loading data onto X:0 Y:12 (1016 bytes at 0x60240018)
10:49:33.546 INFO  HostExecuteDataSpecification:276 (board:44,16) loading data onto X:44 Y:16 (1016 bytes at 0x60240018)
10:49:33.548 INFO  HostExecuteDataSpecification:276 (board:28,20) loading data onto X:28 Y:20 (1016 bytes at 0x60240018)
10:49:33.550 INFO  HostExecuteDataSpecification:276 (board:8,4) loading data onto X:8 Y:4 (1016 bytes at 0x60240018)
10:49:33.551 INFO  HostExecuteDataSpecification:276 (board:20,4) loading data onto X:20 Y:4 (1016 bytes at 0x60240018)
10:49:33.554 INFO  HostExecuteDataSpecification:276 (board:32,4) loading data onto X:32 Y:4 (1016 bytes at 0x60240018)
10:49:33.557 INFO  HostExecuteDataSpecification:276 (board:0,0) loading data onto X:0 Y:0 (1016 bytes at 0x60240018)
10:49:33.560 INFO  HostExecuteDataSpecification:276 (board:12,0) loading data onto X:12 Y:0 (1016 bytes at 0x60240018)
10:49:33.562 INFO  HostExecuteDataSpecification:276 (board:44,4) loading data onto X:44 Y:4 (1016 bytes at 0x60240018)
10:49:33.567 INFO  HostExecuteDataSpecification:276 (board:4,8) loading data onto X:4 Y:8 (1016 bytes at 0x60240018)
10:49:33.567 INFO  HostExecuteDataSpecification:276 (board:40,8) loading data onto X:40 Y:8 (1016 bytes at 0x60240018)
10:49:33.569 INFO  HostExecuteDataSpecification:276 (board:44,4) loading data onto X:44 Y:4 (1052 bytes at 0x60240418)
10:49:33.570 INFO  HostExecuteDataSpecification:276 (board:0,0) loading data onto X:0 Y:0 (1052 bytes at 0x60240418)
10:49:33.571 INFO  HostExecuteDataSpecification:276 (board:32,4) loading data onto X:32 Y:4 (1052 bytes at 0x60240418)
10:49:33.572 INFO  HostExecuteDataSpecification:276 (board:20,4) loading data onto X:20 Y:4 (1052 bytes at 0x60240418)
10:49:33.573 INFO  HostExecuteDataSpecification:276 (board:28,20) loading data onto X:28 Y:20 (1052 bytes at 0x60240418)
10:49:33.574 INFO  HostExecuteDataSpecification:276 (board:44,16) loading data onto X:44 Y:16 (1052 bytes at 0x60240418)
10:49:33.575 INFO  HostExecuteDataSpecification:276 (board:0,12) loading data onto X:0 Y:12 (1052 bytes at 0x60240418)
10:49:33.576 INFO  HostExecuteDataSpecification:276 (board:16,20) loading data onto X:16 Y:20 (1052 bytes at 0x60240418)
10:49:33.578 INFO  HostExecuteDataSpecification:276 (board:40,20) loading data onto X:40 Y:20 (1052 bytes at 0x60240418)
10:49:33.579 INFO  HostExecuteDataSpecification:276 (board:36,0) loading data onto X:36 Y:0 (1052 bytes at 0x60240418)
10:49:33.581 INFO  HostExecuteDataSpecification:276 (board:20,16) loading data onto X:20 Y:16 (1052 bytes at 0x60240418)
