Tags actually read off the machine
==================================
IPTag(board_address=172.16.223.33, destination_x=4, destination_y=8, tag=13, port=60767, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.33, destination_x=4, destination_y=8, tag=14, port=60767, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=8, port=35565, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=9, port=35565, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=10, port=35565, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=11, port=35565, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=12, port=35565, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=13, port=35565, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.129, destination_x=16, destination_y=8, tag=14, port=35565, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.145, destination_x=28, destination_y=8, tag=7, port=10000, ip_address=172.16.223.5, strip_sdp=True, traffic_identifier=DEFAULT)
IPTag(board_address=172.16.223.145, destination_x=28, destination_y=8, tag=8, port=51502, ip_address=172.16.223.5, strip_sdp=False, traffic_identifier=DEFAULT)
