09:53:15.806 INFO  DatabaseEngine:65 - will manage database at /home/juan/spinwishes/reports/2023-03-23-09-52-43-157418/run_1/ds.sqlite3
09:53:15.880 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:0 Y:0 <--> /172.16.223.1:17893) for /172.16.223.5
09:53:15.881 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:0 Y:12 <--> /172.16.223.9:17893) for /172.16.223.5
09:53:15.881 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:4 Y:8 <--> /172.16.223.33:17893) for /172.16.223.5
09:53:15.881 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:4 Y:20 <--> /172.16.223.41:17893) for /172.16.223.5
09:53:15.881 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:8 Y:4 <--> /172.16.223.65:17893) for /172.16.223.5
09:53:15.881 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:8 Y:16 <--> /172.16.223.73:17893) for /172.16.223.5
09:53:15.882 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:12 Y:0 <--> /172.16.223.97:17893) for /172.16.223.5
09:53:15.882 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:12 Y:12 <--> /172.16.223.105:17893) for /172.16.223.5
09:53:15.882 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:16 Y:8 <--> /172.16.223.129:17893) for /172.16.223.5
09:53:15.882 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:16 Y:20 <--> /172.16.223.137:17893) for /172.16.223.5
09:53:15.882 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:20 Y:4 <--> /172.16.223.161:17893) for /172.16.223.5
09:53:15.882 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:20 Y:16 <--> /172.16.223.169:17893) for /172.16.223.5
09:53:15.882 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:24 Y:0 <--> /172.16.223.177:17893) for /172.16.223.5
09:53:15.883 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:28 Y:8 <--> /172.16.223.145:17893) for /172.16.223.5
09:53:15.883 INFO  UDPTransceiver:98 - registering connection SCPConnection(X:28 Y:20 <--> /172.16.223.153:17893) for /172.16.223.5
